doctor_id,First Name,Last Name,email,gender,Specialization,contact_info,days_available,hospital_id
D2001,Tanya,House,doctor1@dentalhospital.com,Male,Orthodontics,-855,"Monday,Thursday,Saturday",DENTA001
D2002,Melinda,Martin,doctor2@dentalhospital.com,Female,Orthodontics,-856,"Tuesday,Thursday",DENTA002
D2003,Todd,Lewis,doctor3@dentalhospital.com,Male,Orthodontics,-857,"Monday,Thursday,Saturday",DENTA003
D2004,Richard,Brown,doctor4@dentalhospital.com,Male,Periodontics,-858,"Monday,Thursday,Saturday",DENTA002
D2005,Nicholas,Galloway,doctor5@dentalhospital.com,Male,Endodontics,-859,"Tuesday,Thursday",DENTA004
D2006,Joseph,Bowers,doctor6@dentalhospital.com,Female,Prosthodontics,-860,"Tuesday,Friday,Saturday",DENTA002
D2007,Spencer,Henderson,doctor7@dentalhospital.com,Female,Periodontics,-861,"Monday,Thursday,Saturday",DENTA003
D2008,Susan,Cowan,doctor8@dentalhospital.com,Male,Endodontics,-862,"Tuesday,Thursday",DENTA004
D2009,Angela,Higgins,doctor9@dentalhospital.com,Male,Endodontics,-863,"Tuesday,Thursday",DENTA002
D2010,Eric,Phillips,doctor10@dentalhospital.com,Male,Prosthodontics,-864,"Tuesday,Friday,Saturday",DENTA001
D2011,Tanya,Riley,doctor11@dentalhospital.com,Female,Endodontics,-865,"Monday,Thursday,Saturday",DENTA002
D2012,Amy,Adkins,doctor12@dentalhospital.com,Male,Prosthodontics,-866,"Tuesday,Friday,Saturday",DENTA002
D2013,Brian,Silva,doctor13@dentalhospital.com,Male,Prosthodontics,-867,"Monday,Wednesday,Friday",DENTA001
D2014,Wesley,Farrell,doctor14@dentalhospital.com,Male,Periodontics,-868,"Monday,Thursday,Saturday",DENTA002
D2015,Eric,Yu,doctor15@dentalhospital.com,Male,Periodontics,-869,"Monday,Thursday,Saturday",DENTA002
D2016,Christopher,Lopez,doctor16@dentalhospital.com,Female,Orthodontics,-870,"Monday,Thursday,Saturday",DENTA004
D2017,Brooke,Leonard,doctor17@dentalhospital.com,Female,Prosthodontics,-871,"Tuesday,Friday,Saturday",DENTA004
D2018,Joe,Wilson,doctor18@dentalhospital.com,Male,Endodontics,-872,"Monday,Thursday,Saturday",DENTA004
D2019,Pamela,Sanchez,doctor19@dentalhospital.com,Male,Prosthodontics,-873,"Monday,Wednesday,Friday",DENTA003
D2020,Brooke,Harvey,doctor20@dentalhospital.com,Male,Endodontics,-874,"Tuesday,Friday,Saturday",DENTA004
D2021,Robert,Silva,doctor21@dentalhospital.com,Female,Endodontics,-875,"Tuesday,Thursday",DENTA004
D2022,Alexandra,Donovan,doctor22@dentalhospital.com,Female,Prosthodontics,-876,"Monday,Wednesday,Friday",DENTA001
D2023,James,Moran,doctor23@dentalhospital.com,Male,Periodontics,-877,"Tuesday,Thursday",DENTA003
D2024,John,Foster,doctor24@dentalhospital.com,Male,Endodontics,-878,"Monday,Wednesday,Friday",DENTA002
D2025,Emily,Evans,doctor25@dentalhospital.com,Male,Orthodontics,-879,"Monday,Thursday,Saturday",DENTA002
D2026,Leslie,Walton,doctor26@dentalhospital.com,Female,Prosthodontics,-880,"Monday,Wednesday,Friday",DENTA004
D2027,Charles,Ellis,doctor27@dentalhospital.com,Male,Endodontics,-881,"Tuesday,Thursday",DENTA001
D2028,Yolanda,Ferrell,doctor28@dentalhospital.com,Female,Periodontics,-882,"Monday,Thursday,Saturday",DENTA002
D2029,Charles,Lewis,doctor29@dentalhospital.com,Female,Orthodontics,-883,"Monday,Thursday,Saturday",DENTA001
D2030,Joseph,Mahoney,doctor30@dentalhospital.com,Male,Endodontics,-884,"Tuesday,Thursday",DENTA001
D2031,Nicole,Suarez,doctor31@dentalhospital.com,Female,Periodontics,-885,"Monday,Thursday,Saturday",DENTA003
D2032,Mike,Moore,doctor32@dentalhospital.com,Male,Periodontics,-886,"Monday,Thursday,Saturday",DENTA004
D2033,Martha,Warner,doctor33@dentalhospital.com,Male,Orthodontics,-887,"Monday,Thursday,Saturday",DENTA001
D2034,Cheryl,Archer,doctor34@dentalhospital.com,Female,Prosthodontics,-888,"Monday,Thursday,Saturday",DENTA001
D2035,Destiny,Smith,doctor35@dentalhospital.com,Male,Prosthodontics,-889,"Tuesday,Friday,Saturday",DENTA002
D2036,Lisa,Evans,doctor36@dentalhospital.com,Female,Periodontics,-890,"Monday,Wednesday,Friday",DENTA001
D2037,Elizabeth,Mcmillan,doctor37@dentalhospital.com,Female,Prosthodontics,-891,"Monday,Thursday,Saturday",DENTA004
D2038,Dennis,Wilson,doctor38@dentalhospital.com,Female,Prosthodontics,-892,"Tuesday,Thursday",DENTA002
D2039,Daniel,Tran,doctor39@dentalhospital.com,Male,Orthodontics,-893,"Monday,Thursday,Saturday",DENTA001
D2040,Joseph,Jacobs,doctor40@dentalhospital.com,Male,Periodontics,-894,"Monday,Thursday,Saturday",DENTA002
D2041,Jennifer,Harris,doctor41@dentalhospital.com,Male,Orthodontics,-895,"Monday,Wednesday,Friday",DENTA001
D2042,Cynthia,Baker,doctor42@dentalhospital.com,Male,Prosthodontics,-896,"Monday,Thursday,Saturday",DENTA001
D2043,Tracy,Whitehead,doctor43@dentalhospital.com,Male,Prosthodontics,-897,"Monday,Thursday,Saturday",DENTA004
D2044,Meghan,Davis,doctor44@dentalhospital.com,Male,Endodontics,-898,"Tuesday,Thursday",DENTA003
D2045,Rodney,Hill,doctor45@dentalhospital.com,Female,Orthodontics,-899,"Monday,Thursday,Saturday",DENTA003
D2046,Adam,Wise,doctor46@dentalhospital.com,Male,Orthodontics,-900,"Tuesday,Friday,Saturday",DENTA002
D2047,Dana,Green,doctor47@dentalhospital.com,Female,Orthodontics,-901,"Tuesday,Thursday",DENTA001
D2048,Joyce,Arnold,doctor48@dentalhospital.com,Female,Endodontics,-902,"Tuesday,Friday,Saturday",DENTA003
D2049,Ronald,Smith,doctor49@dentalhospital.com,Female,Periodontics,-903,"Tuesday,Thursday",DENTA002
D2050,Charles,Ware,doctor50@dentalhospital.com,Female,Endodontics,-904,"Monday,Thursday,Saturday",DENTA003
D2051,Rebecca,Gardner,doctor51@dentalhospital.com,Female,Periodontics,-905,"Tuesday,Friday,Saturday",DENTA003
D2052,Mary,Aguilar,doctor52@dentalhospital.com,Male,Endodontics,-906,"Monday,Thursday,Saturday",DENTA002
D2053,Earl,Anderson,doctor53@dentalhospital.com,Female,Endodontics,-907,"Monday,Wednesday,Friday",DENTA001
D2054,Kyle,Nolan,doctor54@dentalhospital.com,Female,Prosthodontics,-908,"Monday,Wednesday,Friday",DENTA002
D2055,Laura,Valencia,doctor55@dentalhospital.com,Female,Periodontics,-909,"Tuesday,Thursday",DENTA002
D2056,Rachel,Clark,doctor56@dentalhospital.com,Male,Prosthodontics,-910,"Monday,Thursday,Saturday",DENTA003
D2057,John,Garcia,doctor57@dentalhospital.com,Male,Periodontics,-911,"Tuesday,Friday,Saturday",DENTA003
D2058,Kimberly,Henson,doctor58@dentalhospital.com,Female,Periodontics,-912,"Monday,Wednesday,Friday",DENTA003
D2059,Richard,Oliver,doctor59@dentalhospital.com,Male,Orthodontics,-913,"Monday,Thursday,Saturday",DENTA003
D2060,Eric,Spears,doctor60@dentalhospital.com,Female,Periodontics,-914,"Tuesday,Friday,Saturday",DENTA004
D2061,Michelle,Cherry,doctor61@dentalhospital.com,Male,Endodontics,-915,"Monday,Wednesday,Friday",DENTA002
D2062,Lisa,Keith,doctor62@dentalhospital.com,Female,Periodontics,-916,"Tuesday,Friday,Saturday",DENTA004
D2063,Angel,Doyle,doctor63@dentalhospital.com,Male,Endodontics,-917,"Tuesday,Friday,Saturday",DENTA004
D2064,Martin,Galvan,doctor64@dentalhospital.com,Male,Periodontics,-918,"Tuesday,Thursday",DENTA004
D2065,Leah,Shields,doctor65@dentalhospital.com,Female,Endodontics,-919,"Tuesday,Thursday",DENTA002
D2066,Lisa,Adams,doctor66@dentalhospital.com,Male,Periodontics,-920,"Monday,Thursday,Saturday",DENTA004
D2067,Kristin,Rodriguez,doctor67@dentalhospital.com,Male,Prosthodontics,-921,"Monday,Wednesday,Friday",DENTA004
D2068,Monica,Garrison,doctor68@dentalhospital.com,Female,Orthodontics,-922,"Monday,Thursday,Saturday",DENTA003
D2069,Jeffrey,Velasquez,doctor69@dentalhospital.com,Male,Orthodontics,-923,"Tuesday,Thursday",DENTA001
D2070,Steven,Torres,doctor70@dentalhospital.com,Female,Prosthodontics,-924,"Monday,Thursday,Saturday",DENTA004
D2071,Laura,Perez,doctor71@dentalhospital.com,Male,Orthodontics,-925,"Tuesday,Friday,Saturday",DENTA002
D2072,Andrew,Lee,doctor72@dentalhospital.com,Male,Endodontics,-926,"Monday,Thursday,Saturday",DENTA001
D2073,Mark,Lin,doctor73@dentalhospital.com,Female,Orthodontics,-927,"Monday,Wednesday,Friday",DENTA004
D2074,Tammy,Ramirez,doctor74@dentalhospital.com,Male,Endodontics,-928,"Monday,Wednesday,Friday",DENTA003
D2075,Darlene,Ross,doctor75@dentalhospital.com,Male,Endodontics,-929,"Tuesday,Friday,Saturday",DENTA001
D2076,Tina,Herrera,doctor76@dentalhospital.com,Male,Endodontics,-930,"Tuesday,Friday,Saturday",DENTA003
D2077,Sheila,Wilson,doctor77@dentalhospital.com,Female,Prosthodontics,-931,"Monday,Wednesday,Friday",DENTA002
D2078,Tara,White,doctor78@dentalhospital.com,Male,Prosthodontics,-932,"Monday,Wednesday,Friday",DENTA002
D2079,Sydney,Baker,doctor79@dentalhospital.com,Female,Prosthodontics,-933,"Monday,Wednesday,Friday",DENTA004
D2080,Daniel,Hamilton,doctor80@dentalhospital.com,Female,Endodontics,-934,"Monday,Thursday,Saturday",DENTA001
D2081,Jessica,Edwards,doctor81@dentalhospital.com,Female,Prosthodontics,-935,"Tuesday,Thursday",DENTA004
D2082,Catherine,Dixon,doctor82@dentalhospital.com,Female,Endodontics,-936,"Monday,Thursday,Saturday",DENTA004
D2083,Paul,Ray,doctor83@dentalhospital.com,Female,Endodontics,-937,"Tuesday,Thursday",DENTA001
D2084,Jonathan,Fletcher,doctor84@dentalhospital.com,Male,Orthodontics,-938,"Tuesday,Friday,Saturday",DENTA002
D2085,Aaron,Frost,doctor85@dentalhospital.com,Male,Orthodontics,-939,"Tuesday,Friday,Saturday",DENTA004
D2086,Amanda,Ball,doctor86@dentalhospital.com,Female,Prosthodontics,-940,"Tuesday,Friday,Saturday",DENTA002
D2087,Judy,Lambert,doctor87@dentalhospital.com,Female,Orthodontics,-941,"Tuesday,Friday,Saturday",DENTA002
D2088,Michael,Jones,doctor88@dentalhospital.com,Male,Prosthodontics,-942,"Monday,Wednesday,Friday",DENTA003
D2089,Elizabeth,Rivera,doctor89@dentalhospital.com,Male,Periodontics,-943,"Monday,Wednesday,Friday",DENTA004
D2090,Lee,Charles,doctor90@dentalhospital.com,Male,Endodontics,-944,"Tuesday,Thursday",DENTA004
D2091,Jennifer,Evans,doctor91@dentalhospital.com,Female,Orthodontics,-945,"Tuesday,Friday,Saturday",DENTA003
D2092,Kyle,Ortiz,doctor92@dentalhospital.com,Male,Endodontics,-946,"Monday,Wednesday,Friday",DENTA001
D2093,Richard,Phillips,doctor93@dentalhospital.com,Male,Endodontics,-947,"Monday,Thursday,Saturday",DENTA002
D2094,David,Fisher,doctor94@dentalhospital.com,Male,Orthodontics,-948,"Tuesday,Friday,Saturday",DENTA002
D2095,Shelby,Byrd,doctor95@dentalhospital.com,Female,Orthodontics,-949,"Tuesday,Friday,Saturday",DENTA002
D2096,Raven,Gilbert,doctor96@dentalhospital.com,Female,Orthodontics,-950,"Monday,Thursday,Saturday",DENTA002
D2097,Kevin,Kelley,doctor97@dentalhospital.com,Male,Prosthodontics,-951,"Tuesday,Thursday",DENTA003
D2098,Aaron,Mitchell,doctor98@dentalhospital.com,Female,Orthodontics,-952,"Monday,Thursday,Saturday",DENTA001
D2099,Russell,Carpenter,doctor99@dentalhospital.com,Male,Endodontics,-953,"Monday,Wednesday,Friday",DENTA001
D2100,Diana,Marshall,doctor100@dentalhospital.com,Female,Endodontics,-3654,"Tuesday,Friday,Saturday",DENTA004
